Individual,Species,Temperature,Direction,Day,Date,Photo.low.pre,Photo.mean.pre,Photo.high.pre,Photo.low.post,Photo.mean.post,Photo.high.post,Resp.low,Resp.mean,Resp.high
ALRU31UC,ALRU,31,up,35,4/26/18,39.37252674,96.71659014,154.9151979,40.61854803,100.7872601,162.1358457,19.91669723,20.04924662,20.26171865
ALRU31UC,ALRU,31,up,42,5/3/18,39.5033792,97.30999373,156.1920348,42.23326583,105.1910198,169.5452553,18.3302488,18.4377246,18.60854713
ALRU31UC,ALRU,31,up,50,5/11/18,43.19764,106.2308764,170.3615327,43.528583,108.091365,173.8492238,19.72922719,19.89370664,20.16638
ALRU31UC,ALRU,31,up,56,5/17/18,48.13900731,117.7346899,188.241124,49.02801663,121.1931352,194.7382593,20.93667757,21.09527862,21.36178177
ALRU31UC,ALRU,31,up,63,5/24/18,49.54331133,122.631965,197.0133194,51.07233751,127.9650384,206.6187521,22.64656502,22.73948615,22.88783201
ALRU31UC,ALRU,31,up,84,6/14/18,62.38963523,154.7552386,248.9417174,64.14762886,161.8623895,261.9245763,27.41878647,27.55802683,27.73411092
ALRU31UC,ALRU,31,up,91,6/21/18,65.76325818,162.2932235,260.5102074,65.98120836,165.2909965,266.7098077,26.79373462,26.89469736,27.05066249
ALRU31UC,ALRU,31,up,98,6/28/18,70.84325352,172.8410998,276.3324995,70.95766461,175.8250365,282.5237543,31.72188723,31.85604226,32.07928126
ALRU31UC,ALRU,31,up,106,7/6/18,63.61222784,154.2485772,246.1531094,63.91053286,157.25881,251.8383632,25.81436737,26.00745642,26.23042775
ALRU31UC,ALRU,31,up,112,7/12/18,66.32251729,163.8924063,263.1387474,67.16158559,169.1482623,273.6649971,26.81049009,26.95268939,27.18872375
ALRU31UC,ALRU,31,up,118,7/18/18,73.09710447,184.8666393,299.4612331,74.00956271,190.4913713,311.3223619,27.44669039,27.60900684,27.88225086
ALRU31UC,ALRU,31,up,125,7/25/18,88.41223433,217.5943372,348.8288928,87.92264491,221.4304936,357.9229052,27.54396231,27.65702781,27.8384601
ALRU31UC,ALRU,31,up,134,8/3/18,95.45296645,240.0054266,388.2361901,95.87197758,247.3448247,404.1063468,30.91838303,31.08305244,31.30365254
ALRU31UC,ALRU,31,up,148,8/17/18,95.15716462,238.9355156,385.9962701,95.62334511,244.9567827,399.5984591,34.35663262,34.54743311,34.87114979
ALRU31UC,ALRU,31,up,162,8/31/18,118.8738397,303.4175088,493.5253918,118.328552,310.3022397,510.999685,36.29029946,36.4379732,36.63781371
GLSE21DA,GLSE,21,down,0,9/3/19,34.58259131,38.18396253,42.50986398,36.79876044,40.73026873,45.4748926,25.85199551,26.07556377,26.37313436
GLSE21DA,GLSE,21,down,3,9/6/19,27.40937116,30.24002728,33.66777099,27.64505937,30.53835942,34.04448222,23.45527921,23.64061655,23.89474256
GLSE21DA,GLSE,21,down,7,9/10/19,31.96702159,35.20179414,39.12734913,34.60944291,38.19808807,42.5710341,23.37191098,23.55524659,23.81070063
GLSE21DA,GLSE,21,down,14,9/17/19,32.36525771,35.86535502,40.13174383,36.66638576,40.70344587,45.68383131,23.67716793,23.82482814,24.00476297
GLSE21DA,GLSE,21,down,22,9/25/19,41.71901119,46.06686781,51.3666436,46.88748535,51.96259086,58.15279862,24.44958239,24.64658625,24.92153448
GLSE21DA,GLSE,21,down,41,10/14/19,40.28150356,44.48729107,49.58729313,45.09896468,49.94607641,55.85961054,27.95118531,28.20404117,28.5354314
GLSE21DA,GLSE,21,down,57,10/30/19,31.39952166,34.51272477,38.25893747,36.76957294,40.48413595,45.01417362,22.57179584,22.78942038,23.11231394
GLSE21DB,GLSE,21,down,0,9/3/19,10.31197234,11.37059188,12.65261383,10.84797508,11.97338806,13.35095272,11.78418644,11.99837411,12.293924
GLSE21DB,GLSE,21,down,3,9/6/19,8.045799348,8.891469189,9.919413364,8.480725138,9.380176068,10.47856977,9.150389368,9.31991404,9.559415517
GLSE21DB,GLSE,21,down,7,9/10/19,10.48535332,11.56813545,12.88235044,11.0809271,12.24443969,13.63700864,9.516226698,9.703373895,9.972584539
GLSE21DC,GLSE,21,down,0,9/3/19,11.3147643,12.51981845,13.98611267,10.74337573,11.90271415,13.32194141,10.06668865,10.27499426,10.57871295
GLSE21DC,GLSE,21,down,3,9/6/19,10.78732836,11.93467693,13.33331608,10.08146566,11.15931026,12.47638894,9.998972832,10.16272593,10.38636348
GLSE21DC,GLSE,21,down,7,9/10/19,14.63576576,16.17806185,18.04677102,15.32184331,16.95605386,18.95874208,10.68702039,10.8736238,11.1408071
GLSE21DC,GLSE,21,down,14,9/17/19,15.01730531,16.58322425,18.487193,15.77104111,17.4519699,19.49625024,10.67973553,10.83731398,11.04387926
GLSE21DD,GLSE,21,down,0,10/25/19,26.20877905,28.52641072,31.26884287,21.44415664,23.37540856,25.6438319,15.76188125,15.99141856,16.34646505
GLSE21DD,GLSE,21,down,3,10/28/19,27.62472409,30.23818039,33.3762738,29.5825248,32.44143722,35.88488241,23.90458986,24.10093032,24.35932252
GLSE21DD,GLSE,21,down,7,11/1/19,25.4817951,28.11006007,31.30154498,28.63676198,31.65688561,35.33609911,19.06347657,19.28571658,19.60243707
